,municipio
520040,almas
520070,alvorada
520100,ananás
520190,araguacema
520200,araguaçu
520210,araguaína
520220,araguatins
520230,arapoema
520240,arraias
520255,augustinópolis
520270,aurora do norte
520290,axixá de goiás
520300,babaçulândia
520370,brejinho de nazaré
520550,colinas de goiás
521670,colméia
520560,conceição do norte
520600,couto de magalhães
520610,cristalândia
520700,dianópolis
520720,dois irmãos
520730,dueré
520755,fátima
520765,figueirópolis
520770,filadélfia
520820,formoso do araguaia
520900,goiatins
520930,guaraí
520950,gurupi
521050,itacajá
521070,itaguatins
521110,itaporã de goiás
521240,lizarda
521320,miracema do norte
521330,miranorte
521360,monte do carmo
521420,natividade
521430,nazaré
521488,nova olinda
521510,novo acordo
521575,palmeirópolis
521610,paraíso do norte de goiás
521620,paranã
521650,pedro afonso
521660,peixe
521700,pindorama de goiás
521750,pium
521780,ponte alta do bom jesus
521790,ponte alta do norte
521820,porto nacional
521840,presidente kennedy
521875,rio sono
522030,são sebastião do tocantins
522065,silvanópolis
522080,sítio novo de goiás
522090,taguatinga
522110,tocantínia
522120,tocantinópolis
522208,wanderlândia
522210,xambioá
